real	estimada
576	18682
572	10497
0	0
2	528
1	34
92	7267
935	13042
0	0
845	16204
56	14662
2	3179
2	100
212	17145
1	101
457	6264
836	10009
547	5500
798	24870
2	476
405	21755
1	1359
1	628
0	3386
102	14420
265	7725
69	14796
41	14146
562	24077
101	14909
818	11499
518	10901
18	1214
145	7501
0	0
687	19604
803	24904
94	7907
0	0
0	0
623	24150
86	7879
94	14899
245	9606
6	818
179	15689
0	0
0	0
151	11075
169	5886
0	3316
352	9113
1	0
1	697
22	11080
1	2774
166	13910
224	17394
0	0
17	2776
2	3747
43	10976
623	11991
0	0
60	16800
2	47
0	0
951	12263
136	11404
1	935
15	5766
1	1493
2	109
0	0
65	1714
0	0
485	5188
1	825
198	12641
255	17752
2	529
529	21895
7	924
254	18827
108	9682
1	744
48	16826
1103	15084
0	955
17	1705
1075	12383
614	7640
67	3830
184	16386
1	216
125	11304
0	3464
0	0
69	1175
0	0
885	21814
66	16522
6	3391
0	0
69	1741
54	17364
91	8502
38	4481
726	9091
75	16404
6	333
1	541
54	17421
1	566
0	2312
0	3199
1	0
21	10013
1	41
123	1536
1	190
0	0
61	16008
3	163
108	4878
3	94
0	1135
0	0
72	15680
0	0
1	485
172	16195
0	2599
101	10657
678	8243
1	88
1	658
792	17675
18	3849
22	1271
355	19178
124	10977
7	1223
1536	20886
440	22863
130	14835
68	15169
0	0
46	11684
1	537
0	16
639	24488
0	0
0	0
0	0
1069	20237
1054	23260
101	5597
1166	13861
0	0
688	9679
0	0
2	3560
8	2045
228	3919
14	2867
1	1810
445	21899
461	10410
967	20346
924	11223
0	0
499	13602
132	3373
329	11410
679	17404
0	0
24	6969
836	11650
0	83
9	1023
1	170
331	7237
425	11935
662	21136
0	0
549	22203
1	148
47	16237
464	19641
22	5218
0	875
0	0
114	9808
3	606
74	14459
0	0
973	18064
254	17383
0	0
1	385
0	887
11	1443
988	25218
1315	15051
24	4879
0	0
50	13466
168	15639
56	17511
167	16274
95	5088
0	0
0	0
158	12706
1	422
0	0
97	1332
86	3954
122	2662
0	0
81	9946
48	3986
138	14781
423	11125
0	0
0	1160
123	15646
1101	14855
126	10919
0	2152
84	12994
46	11317
0	0
72	5631
74	14916
324	17872
88	14459
36	3819
48	11635
1	305
240	9148
0	0
25	5690
47	16804
0	0
26	10168
882	22021
1255	16102
177	16163
468	15265
655	8919
80	6200
0	0
799	14111
338	20135
0	0
445	13891
80	13991
0	0
57	14732
45	4010
254	12006
73	621
0	0
888	15835
14	63
48	2992
1264	14481
89	2650
88	1552
20	4235
647	13028
561	14874
0	1996
0	0
0	387
4	46
187	7186
73	15771
0	0
90	7986
20	8916
112	15077
0	0
771	13842
62	17302
64	11047
1	3161
0	1142
764	23942
1403	18926
421	20856
610	8137
293	18370
121	1527
22	5101
646	23001
21	2584
0	3038
299	8325
0	0
806	10747
1148	12895
0	2986
1057	22372
0	0
1185	23065
0	0
390	5048
399	19009
60	9604
7	794
24	6565
0	0
78	14371
118	5335
236	2339
600	7458
128	10848
0	0
1	2879
61	15062
23	7025
0	600
0	0
154	14456
522	9816
901	12181
1193	16668
47	16812
0	164
0	0
0	694
858	16180
0	0
9	3370
924	10605
285	17027
0	0
1	4
6	3168
72	6270
39	9315
35	4380
0	0
188	16341
65	5087
1	467
0	0
0	0
13	605
2	3444
50	4011
1559	19276
778	10723
56	4642
210	5783
10	1185
931	11816
0	1963
1	10
10	5435
0	0
140	6204
74	15582
941	16933
981	19111
21	2937
1	1921
0	0
130	2167
926	25256
1	2029
18	882
142	5286
0	1543
1	711
368	11725
87	3867
1139	12829
1	54
689	17785
0	0
249	9732
804	23861
0	0
327	7820
1	3144
358	19823
1	888
81	14379
18	878
38	8995
0	0
95	10352
0	0
36	4050
688	12310
513	13102
149	12005
1	141
35	3393
0	1030
381	19276
56	4420
821	16951
1	117
3	338
91	5398
29	5452
154	12843
0	0
53	13765
13	2424
52	16478
5	254
11	5103
0	0
193	15841
246	18081
19	202
0	495
22	8736
2	3098
1355	15253
367	13418
621	24309
83	4709
1081	13856
957	21970
1	1020
6	1808
1216	24660
0	0
1	169
373	20816
293	17472
149	13785
8	601
45	16644
70	16614
20	3983
396	5636
1062	23271
20	1228
6	999
53	17080
0	1542
83	16202
0	0
1	1305
45	982
0	0
0	0
53	16704
668	22850
1014	13116
74	16307
4	292
346	12299
159	15146
116	12444
5	511
188	14812
777	8060
406	19469
1316	19897
701	7755
20	2331
22	1541
1	1084
5	3595
0	0
8	2654
32	1871
47	3598
0	2193
0	0
284	6573
28	8326
72	16499
63	16050
1	642
0	0
0	0
874	10659
27	895
232	17132
235	17038
265	18127
199	5667
139	5135
32	4365
861	9655
2	2398
1	78
1344	19630
1	764
8	3657
1392	18130
